id,x,y
10000,19,7
2327,19.295,6.12342
1515,19.3588,5.93386
1340,19.4226,5.74431
1323,19.2993,5.58681
1039,19.3408,5.39115
1036,19.213,5.54503
992,19.0135,5.55858
879,19.0153,5.35859
563,19.0172,5.1586
529,19.0191,4.95861
514,18.8612,4.83584
499,18.727,4.68752
319,18.7036,4.4889
316,18.5111,4.54315
310,18.3574,4.41513
287,18.2532,4.24445
266,18.2008,4.05141
235,18.0585,4.19189
230,17.8864,4.08989
215,17.6893,4.05625
210,17.6079,3.87354
209,17.4275,3.78732
205,17.2356,3.84388
155,17.1381,3.6693
146,17.0077,3.82099
144,16.816,3.87793
141,16.653,3.76199
139,16.5356,3.60005
138,16.3356,3.59993
135,16.1407,3.64464
125,16.0497,3.82273
117,15.9087,3.96462
116,15.766,3.8245
114,15.6061,3.70439
113,15.4626,3.56506
110,15.3191,3.42573
107,15.2029,3.58846
105,15.0617,3.73012
100,14.8699,3.67336
93,14.7239,3.81006
92,14.5636,3.69047
89,14.4033,3.57088
86,14.243,3.45129
84,14.1911,3.64446
83,14.0374,3.77234
81,13.8374,3.7687
80,13.6679,3.66259
79,13.4983,3.55648
76,13.3036,3.6021
75,13.1057,3.63118
72,12.9557,3.76343
71,12.7794,3.66902
67,12.5809,3.64424
63,12.4037,3.55158
62,12.2264,3.45892
59,12.0492,3.36626
58,11.872,3.2736
57,11.6947,3.18095
56,11.5809,3.34542
55,11.3847,3.30683
54,11.1926,3.36263
53,10.9933,3.34593
52,10.8014,3.40228
51,10.6183,3.32191
50,10.4352,3.24154
49,10.236,3.26017
47,10.11,3.41545
45,9.91091,3.39612
44,9.72499,3.3224
43,9.5296,3.2797
42,9.34345,3.20657
41,9.14621,3.2397
40,8.96034,3.31353
37,8.76066,3.30221
36,8.57255,3.23428
35,8.38444,3.16635
34,8.19048,3.21512
33,8.00172,3.14902
32,7.81296,3.08293
31,7.6162,3.04704
29,7.4401,3.14184
28,7.25038,3.07853
27,7.05046,3.07317
25,6.86045,3.01073
24,6.67045,2.94829
23,6.47049,2.95253
22,6.28018,2.89106
21,6.08986,2.82958
20,5.89954,2.7681
19,5.70085,2.74527
18,5.501,2.75305
17,5.31022,2.69303
16,5.11584,2.64596
15,4.91989,2.68599
14,4.72496,2.73074
13,4.52999,2.77533
12,4.33628,2.82508
10,4.13945,2.86058
9,3.94679,2.80691
8,3.75412,2.75324
7,3.56146,2.69957
6,3.36459,2.73483
5,3.17164,2.68219
4,2.97521,2.64458
3,2.78221,2.59213
2,2.58921,2.53967
1,2.3903,2.51879
0,2.19721,2.4667
-1,2,2.5
